id,monthname,monthshort,weekname,weekshort,dayname,yearname
1,January,Jan,,,,
2,February,Feb,,,,
3,March,Mar,,,,
4,April,Apr,,,,
5,May,May,,,,
6,June,Jun,,,,
7,July,Jul,,,,
8,August,Aug,,,,
9,September,Sep,,,,
10,October,Oct,,,,
11,November,Nov,,,,
12,December,Dec,,,,
13,,,Sunday,Sun,,
14,,,Monday,Mon,,
15,,,Tuesday,Tue,,
16,,,Wednesday,Wed,,
17,,,Thursday,Thu,,
18,,,Friday,Fri,,
19,,,Saturday,Sat,,
20,,,,,1,
21,,,,,2,
22,,,,,3,
23,,,,,4,
24,,,,,5,
25,,,,,6,
26,,,,,7,
27,,,,,8,
28,,,,,9,
29,,,,,10,
30,,,,,11,
31,,,,,12,
32,,,,,13,
33,,,,,14,
34,,,,,15,
35,,,,,16,
36,,,,,17,
37,,,,,18,
38,,,,,19,
39,,,,,20,
40,,,,,21,
41,,,,,22,
42,,,,,23,
43,,,,,24,
44,,,,,25,
45,,,,,26,
46,,,,,27,
47,,,,,28,
48,,,,,29,
49,,,,,30,
50,,,,,31,
51,,,,,,2001
52,,,,,,2002
53,,,,,,2003
54,,,,,,2004
55,,,,,,2005
56,,,,,,2006
57,,,,,,2007
58,,,,,,2008
59,,,,,,2009
60,,,,,,2010
61,,,,,,2011
62,,,,,,2012
63,,,,,,2013
64,,,,,,2014
65,,,,,,2015
66,,,,,,2016
67,,,,,,2017
68,,,,,,2018
69,,,,,,2019
70,,,,,,2020
71,,,,,,2021
72,,,,,,2022
73,,,,,,2023
74,,,,,,2024
75,,,,,,2025
76,,,,,,2026
77,,,,,,2027
78,,,,,,2028
79,,,,,,2029
80,,,,,,2030
81,,,,,,2031
82,,,,,,2032
83,,,,,,2033
84,,,,,,2034
85,,,,,,2035
86,,,,,,2036
87,,,,,,2037
88,,,,,,2038
89,,,,,,2039
90,,,,,,2040
91,,,,,,2041
92,,,,,,2042
93,,,,,,2043
94,,,,,,2044
95,,,,,,2045
96,,,,,,2046
97,,,,,,2047
98,,,,,,2048
99,,,,,,2049
100,,,,,,2050
